"Date";"Year";"Type";"Country";"Area";"Location";"Injury";"Species";"href formula"
"13-May-2018";2018;"Unprovoked";"USA";"South Carolina";"Hilton Head Island, Beaufort County";"Severe bite to right forearm";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf"
"13-May-2018";2018;"Invalid";"ENGLAND";"Cornwall";"Off Land's End";"Injured by teeth of a dead porbeagle shark he was tossing overboard.";"Invalid incident";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf"
"May 2018";2018;"Provoked";"AUSTRALIA";"Westerm Australia";"Dugong Bay";"Shallow lacerations to finger PROVOKED INCIDENT";"Tawny nurse shark, 2m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf"
"12-May-2018";2018;"Unprovoked";"SOUTH AFRICA";"Eastern Cape Province";"Nahoon Beach, East London";"Minor injury, marks on board";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf"
"09-May-2018";2018;"Questionable";"AUSTRALIA";"New South Wales";"Sharpes Beach, Ballina";"No injury, surfboard damaged";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf"
"Reported 30-Apr-2018";2018;"Unprovoked";"THAILAND";"Hua Hin";"Sai Noi Beach";"Minor injury to ankle";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf"
"28-Apr-2018";2018;"Unprovoked";"COSTA RICA";"Cocos Island";"Manuelita";"No injury, shark bit scuba gear";"Tiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf"
"28-Apr-2018";2018;"Unprovoked";"AUSTRALIA";"Western Australia";"Gearys Beach";"No injury, knocked off board by shark";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf"
"25-Apr-2018";2018;"Questionable";"AUSTRALIA";"New South Wales";"Lennox Head";"No injury";"Questionable";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf"
"25-Apr-2018";2018;"Unprovoked";"AUSTRALIA";"Western Australia";"Surfers Point, Prevelly";"No injury, knocked off board by shark";"3 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf"
"24-Apr-2018";2018;"Unprovoked";"AUSTRALIA";"Western Australia";"South Point, Gracetown";"No injury, shark struck his leg";"White shark, 3.5 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf"
"23-Apr-2018";2018;"Unprovoked";"MALDIVES";"Alifu Alifu Atoll";"Madoogali";"5-inch cut to hand";"Tiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf"
"22-Apr-2018";2018;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Robberg Beach, Plettenberg Bay";"No injury, shark bit hole in ski";"White shark, 2.5 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf"
"19-Apr-2018";2018;"Unprovoked";"USA";"Hawaii";"Shipwreck’s Beach, Keoneloa Bay, Kauai";"Lacerations to right lower leg";"6' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf"
"15-Apr-2018";2018;"Unprovoked";"THAILAND";"Hua Hin";"Sai Noi Beach";"Lacerations to foot and ankle";"Juvenile bull shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf"
"15-Apr-2018";2018;"Unprovoked";"BRAZIL";"Pernambuco";"Piedade";"Multiple severe injuries to arms and leg, leg subsequently surgically amputated";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf"
"15-Apr-2018";2018;"Unprovoked";"AUSTRALIA";"Western Australia";"Lefthanders, Margaret River Area";"Laceration to right thigh";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf"
"15-Apr-2018";2018;"Unprovoked";"AUSTRALIA";"Western Australia";"Cobblestones, Margaret River Area";"Lacerations to legs";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf"
"14-Apr-2018";2018;"Unprovoked";"BAHAMAS";"New Providence";"Nirvana Beach";"No Injury. Shark swam away with the surf board";"Tiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff"
"Reported 10-Apr-2018";2018;"Invalid";"BRAZIL";"Alagoas";"Praia de Sauaçuhy, Maceió";"Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf"
"09-Apr-2018";2018;"Unprovoked";"NEW CALEDONIA";"";"Magenta Beach, Noumea";"No injury, shark bit board";"2 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf"
"05-Apr-2018";2018;"Unprovoked";"BAHAMAS";"";"Bimini";"2 puncture wounds to left foot, abrasion to right foot";"Bull shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf"
"03-Apr-2018";2018;"Unprovoked";"SOUTH AFRICA";"Eastern Cape Province";"St. Francis Bay";"Lacerations to left knee & lower leg";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf"
"31-Mar-2018";2018;"Unprovoked";"USA";"Hawaii";"Kukio Beach";"Injuries to right leg & hand";"Tiger shark, 12'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf"
"14-Mar-2018";2018;"Unprovoked";"AUSTRALIA";"Western Australia";"Waterman's Bay";"Minor injuries to legs";"Wobbegong shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf"
"9-Mar-2018";2018;"Unprovoked";"AUSTRALIA";"Victoria";"Lorne";"No injury, said to have been charged by sharks several times";"3.5 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf"
"9-Mar-2018";2018;"Unprovoked";"AUSTRALIA";"Victoria";"Winkipop";"Minor injury, ankle grazed";"1.8 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf"
"24-Feb-2018";2018;"Unprovoked";"SOUTH AFRICA";"KwaZulu-Natal";"Durban";" The shark & man simply collided; neither were injured";"Blacktip shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf"
"23-Feb-2018";2018;"Unprovoked";"AUSTRALIA";"New South Wales";"Little Congwong Beach, La Perouse ";"Laceratons to right leg & foot";"Juvenile white shark,  2.7 to 3.2 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf"
"18-Feb-2018";2018;"Provoked";"AUSTRALIA";"Victoria";"Westernport Bay";"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf"
"15-Feb-2018";2018;"Unprovoked";"AUSTRALIA";"New South Wales";"Surf Beach, Kiama";"Puncture wounds to leff foot & lower leg";"Bull shark, 2 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf"
"14-Feb-2018";2018;"Invalid";"AUSTRALIA";"Queensland";"Mooloolaba Beach";"Collision / No injury, no attack";"Possibly a wobbegong";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf"
"11-Feb-2018";2018;"Invalid";"BRAZIL";"Boi Island, Victoria";"Espirito Santo";"Lacerations to 4 toes of right foot";"Injury believed caused by an eel, not a shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf"
"03-Feb-2018";2018;"Unprovoked";"ECUADOR";"Galapagos Islands";"Santa Fe Island";"Injuries to right foot";"Galapagos shark?";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf"
"01-Feb-2018";2018;"Invalid";"AUSTRALIA";"Western Australia";"Avalon Point, Manurah";"No injury no attack. This is considerd an ""encounter""""""";"2m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf"
"28-Jan-2018";2018;"Unprovoked";"AUSTRALIA";"Western Australia";"Cone Bay";"Injuries to right leg";"Bull shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf"
"21-Jan-2018";2018;"Unprovoked";"NEW CALEDONIA";"";"Nouville";"Injuries to abdomen and arm";"Bull shark, 3 m ";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf"
"14-Jan-2018";2018;"Unprovoked";"AUSTRALIA";"Queensland";"Lizard Island";"Severe laceration to left forearm";"Grey reef shark. 2 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf"
"13-Jan-2018";2018;"Unprovoked";"AUSTRALIA";"New South Wales";"Martin Islet";"No injury, shark took his swimfin";"White shark, 3.5 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf"
"12-Jan-2018";2018;"Unprovoked";"BRAZIL";"Fernando de Noronha";"Conceicao Beach";"Minor injury to left forearm";"small shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf"
"05-Jan-2018";2018;"Unprovoked";"AUSTRALIA";"Western Australia";"South Point, Gracetown";"Foot bitten";"Wobbegong shark?";"http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf"
"31-Dec-2017";2017;"Unprovoked";"USA";"Hawaii";"Hultin's Beach, Oahu";"Severe lacerations to left thigh & knee";"Tiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf"
"30-Dec-2017";2017;"Unprovoked";"USA";"California";"Drakes Estero, Point Reyes, Marin County";"Foot bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf"
"21-Dec-2017";2017;"Provoked";"MALAYSIA";"Sepang";"Bagan Lalang Beach";"Minor injury to thigh, PROVOKED INCIDENT";"Juvenile nurse shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf"
"09-Dec-2017";2017;"Unprovoked";"BAHAMAS";"";"";"Minor injury to arm";"Nurse shark. 5'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf"
"30-Nov-2017";2017;"Unprovoked";"COSTA RICA";"Cocos Island";"Manuelita";"Serious injury to leg";"Tiger shark, female";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf"
"30-Nov-2017";2017;"Unprovoked";"COSTA RICA";"Cocos Island";"Manuelita";"FATAL";"Tiger shark, female";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf"
"Reported 25-Nov-2017";2017;"Sea Disaster";"LIBYA";"";" Gars Garabulli";"FATAL";"Some drowned but other may have been killed by blue sharks";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf"
"24-Nov-2017";2017;"Unprovoked";"USA";"California";"Stillwater Cove, Monterey County";"Right leg bitten";"White shark, 4.6 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf"
"18-Nov-2017";2017;"Unprovoked";"USA";"Florida";"Floridana Beach, Brevard County";"Heel bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf"
"Reported 13-Nov-2017";2017;"Unprovoked";"";"";"";"Puncture wounds to feet";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf"
"13-Nov-2017";2017;"Unprovoked";"AUSTRALIA";"New South Wales";"Avoca Beach";"Puncture wounds to left shoulder";"2 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf"
"04-Nov-2017";2017;"Unprovoked";"CUBA";"Holquin Province";"Guardalavaca Beach";"FATAL";"Tiger shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf"
"Reported 31-Oct-2017";2017;"Unprovoked";"AUSTRALIA";"Queensland";"Magnetic Island";"Calf injured";"Cookiecutter shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf"
"28-Oct-2017";2017;"Unprovoked";"AUSTRALIA";"New South Wales";"Birubi Point";"Minor injury to foot";"Wobbegong shark, 1 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf"
"26-Oct-2017";2017;"Unprovoked";"USA";"Hawaii";"White Plains Beach, Oahu";"No injury but shark bit SUP";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf"
"23-Oct-2017";2017;"Unprovoked";"MAURITIUS";"Pamplemousses ";"Le Goulet";"Minor injury to foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf"
"23-Oct-2017";2017;"Unprovoked";"USA";"Florida";"Juno Beach, Palm Beach County";"Lacerations to left foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf"
"23-Oct-2017";2017;"Unprovoked";"USA";"Florida";"Ocean Reef Park, Singer Island, Palm Beach County";"Severe lacerations to left hand & wrist";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf"
"22-Oct-2017";2017;"Unprovoked";"AUSTRALIA";"South Australia";"Normanville";"Minor injuries";"White shark, 4.5 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf"
"21-Oct-2017";2017;"Unprovoked";"NEW ZEALAND";"North Island";"Off Tapuna Beach, Auckand";"No injury, shark shook kayak x3 ";"2 m shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf"
"18-Oct-2017";2017;"Unprovoked";"USA";"Florida";"Lantana Beach, Palm Beach County";"Puncture wounds & lacerations to foot";"Spinner shark, 4 to 5 feet";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf"
"09-Oct-2017";2017;"Unprovoked";"USA";"Hawaii";"Davidsons Beach, Kekaha, Kauai";"Lacerations to left hand";"Tiger shark, 8 to 10 feet";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf"
"05-Oct-2017";2017;"Unprovoked";"USA";"Hawaii";"Kama‘ole Beach Park, Maui ";"Abrasions";"8' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf"
"01-Oct-2017";2017;"Invalid";"SOUTH AFRICA";"Western Cape Province";"Dyer Island";"FATAL";"Death may have been due to drowning";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf"
"25-Sep-2017";2017;"Unprovoked";"USA";"Florida";"Hanna Park, Jacksonville, Duval County";"Lacerations to lower left leg and foot";"5' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.b-White.pdf"
"25-Sep-2017";2017;"Unprovoked";"AUSTRALIA";"Western Australia";"Gracetown";"No injury, board damaged by shark";"White shark, 3.5 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf"
"24-Sep-2017";2017;"Invalid";"USA";"New York";"Rockaway";"Lacerations to right ankle, foot & toe";"Questionable";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf"
"24-Sep-2017";2017;"Unprovoked";"USA";"Florida";"Fort Worth";"Laceration to upper arm";"4' to 5' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.a-FortWorth.pdf"
"20-Sep-2017";2017;"Unprovoked";"USA";"Florida";"Palm Beach County";"Minor lacerations to sole of left foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.20-Inniss.pdf"
"16-Sep-2017";2017;"Unprovoked";"SPAIN";"Canary Islands";"Gran Canaria ";"Lacerations to right foot";"Porbeagle, 1.5 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf"
"16-Sep-2017";2017;"Unprovoked";"USA";"Florida";"Ponce Inlet, Volusia County";"Lacerations to left foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf"
"15-Sep-2017";2017;"Invalid";"SOUTH AFRICA";"Western Cape Province";"Hawston";"FATAL, but death was probably due to drowning";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf"
"15-Sep-2017";2017;"";"SAMOA";" Upolu Island";"Nofoali’i";"Injuries to hands and legs";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf"
"Sep-2017";2017;"Boating";"AUSTRALIA";"Westerm Australia";"Esperance";"sharks rammed boats, no injury to occupants";"White shark, 3.5m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf"
"13-Sep-2017";2017;"Unprovoked";"USA";"Florida";"Ponce Inlet, Volusia County";"Lacerations to left foot";"5' to 6' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.13-Loyd.pdf"
"10-Sep-2017";2017;"Unprovoked";"AUSTRALIA";"Westerm Australia";"Sam's Creek area";"Minor injuries";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf"
"10-Sep-2017";2017;"Unprovoked";"AUSTRALIA";"New South Wales";"Iluka Beach";"Minor lacerations to right hip";"White shark, 3 to 3.5m ";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf"
"Reported 06-Sep-2017";2017;"Unprovoked";"SOLOMON ISLANDS";"";"Owarigi Island";"Foot bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.06-Bartholomew.pdf"
"03-Sep-2017";2017;"Unprovoked";"SOUTH AFRICA";"Western Cape Province";"Dyer Island";"FATAL";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.b-Xelela.pdf"
"03-Sep-2017";2017;"Unprovoked";"JAPAN";"Shizuoka Prefecture";"Iwata City";"Injury to ankle & feet";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.a-Japan.pdf"
"02-Sep-2017";2017;"Unprovoked";"USA";"Florida";"Marathon, Monroe County";"Lacerations to abdomen";"Nurse shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.c-Maccarty.pdf"
"02-Sep-2017";2017;"Unprovoked";"USA";"Texas";"South Padre Island, Cameron County";"Lacerations to foot";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.b-SouthPadre.pdf"
"02-Sep-2017";2017;"Unprovoked";"USA";"Florida";"New Smyrna Beach, Volusia County";"Minor injury to right hand";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.a-Elmore.pdf"
"29-Aug-2017";2017;"Unprovoked";"AUSTRALIA";"Victoria";"Cathedral Rock";"No injury, board bitten";"White shark, 3 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Brundler.pdf"
"27-Aug-2017";2017;"Unprovoked";"USA";"Florida";"Bathtub Beach ";"Leg injured";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Veatch.pdf"
"26-Aug-2017";2017;"Invalid";"SPAIN";"Castellón";"Grao de Moncofa";"Lacerations to left foot";"Shark involvement questionable";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.b-Spain.pdf"
"26-Aug-2017";2017;"Unprovoked";"NEW ZEALAND";"North Island";"Off Tutukaka";"No injury, shark bit canoe";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.a-Kensington.pdf"
"23-Aug-2017";2017;"Unprovoked";"USA";"Massachusetts";"Marconi Beach, Wellfleet, Barnstable County";"Not injured by shark but board bitten";"White shark, 5' to 7'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.23-Bigelow.pdf"
"18-Aug-2017";2017;"Unprovoked";"BAHAMAS";"";"";"Hand injured";"5' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.18-JupiterDiver.pdf"
"10-Aug-2017";2017;"Unprovoked";"USA";"South Carolina";"Sea Pines Resort, Hilton Head Island, Beaufort County";"Minor cuts to sole & toes of left foot";"Possibly a juvenile blacktip shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.10-Suttle.pdf"
"05-Aug-2017";2017;"Unprovoked";"EGYPT";"Red Sea Protectorate";"Marsa Ghalib";"Bite to right leg/hip";"Oceanic whitetip shark, 1.8 to 2 m";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.05-Schachinger.pdf"
"03-Aug-2017";2017;"Provoked";"USA";"Massachusetts";"Menauhant Beach, Falmouth,
Barnstable County";"Foot bitten by landed shark PROVOKED INCIDENT";"4' shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.03-Massachusetts.pdf"
"01-Aug-2017";2017;"Boating";"USA";"California";"Between Pescadero Point & Bean Hollow Beach, San Mateo County";"No injury, bow of kayak bitten";"White shark, 10'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.01-Conroy.pdf"
"31-Jul-2017";2017;"Unprovoked";"USA";"Florida";"Jacksonvlle, Duval County";"Lacerations to lower leg";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.31.pdf"
"29-Jul-2017";2017;"Invalid";"USA";"South Carolina";"Hilton Head Island, Beaufort County";"Abrasions and cuts to sole of foot";"A small shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.c-Simatacolos.pdf"
"29-Jul-2017";2017;"Unprovoked";"USA";"South Carolina";"DeBordieu Colony, Georgetown County";"Bite to left thigh / minor injury";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.a-Georgetown.pdf"
"27-Jul-2017";2017;"Unprovoked";"BAHAMAS";"New Providence District";"Rose Island";"Foot & ankle injured";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.27-Bahamas.pdf"
"Reported 26-Jul-2017";2017;"Unprovoked";"BAHAMAS";"40 miles off Grand Bahama Island";"";"Severe lacerations to left hand";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.26.R-Massey.pdf"
"24-Jul-2017";2017;"Unprovoked";"ST HELENA, British overseas territory";"Ascension Island";"English Bay";"Torso bitten";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.24-Matsu.pdf"
"23-Jul-2017";2017;"Unprovoked";"USA";"New Jersey";"Ventnor";"Minor injury to hand";"Sandtiger shark  2'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.b-Smith.pdf"
"23-Jul-2017";2017;"Unprovoked";"SPAIN";"Majorca";"Estanys Beach, Colonia de Sant";"Abrasion to arm from shark's rough skin";"Blue shark 6'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.a-Majorca.pdf"
"22-Jul-2017";2017;"Unprovoked";"USA";"Florida";"Snipes Point, Monroe County";"Foot bitten";"""A small shark""""""";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.22-Keys.pdf"
"20-Jul-2017";2017;"Invalid";"USA";"South Carolina";"Hilton Head Island, Beaufort County";"Foot injured";"Shark involvement not confirmed";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.c-Rogier.pdf"
"20-Jul-2017";2017;"Boating";"USA";"California";"Stearns Wharf, Santa Barbara";"No injury, kayak bitten";"White shark, 11' to 13'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.b-Jackson.pdf"
"20-Jul-2017";2017;"Unprovoked";"USA";"California";"Seal Rock, Goleta Beach, Santa Barbara";"No injury, shark bit paddleboard";"White shark, 8' to 10'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.a-Geyling.pdf"
"14-Jul-2017";2017;"Unprovoked";"USA";"Washington";"South Beach, Westport, Grays Harbor County";"Pulled off board by shark but no injury";"White shark, 9'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.b-Washington.pdf"
"14-Jul-2017";2017;"Unprovoked";"AUSTRALIA";"Western Australia";"Floreat Beach";"Minor injury, grazed by shark";"";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.a-Floreat.pdf"
"11-Jul-2017";2017;"Boating";"USA";"California";"Santa Cruz, Santa Cruz County";"No injury, kayak bitten";"White shark";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.11-Lawson.pdf"
"09-Jul-2017";2017;"Unprovoked";"USA";"Florida";"Haulover Beach, Miami-Dade County";"Lower legs bitten";"Bull shark, 4' to 5'";"http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.09-Lanza.pdf"
